CUSTOM_ATTRIBUTE_ID,ATTRIBUTE_NAME,ATTRIBUTE_LABEL,GROUP_NAME,DATA_TYPE_CODE,DATA_TYPE_DESC,DATA_LENGTH,DEFAULT_VALUE,LOOKUP_CLASS,LOOKUP_RETURN,DOCUMENT_TYPE_CODE,ATTACHED_MODULE,IS_REQUIRED,ACTIVE_FLAG,AWARD_VALUE_ROWS,AWARD_DISTINCT_VALUES,PROPOSAL_VALUE_ROWS,PROPOSAL_DISTINCT_VALUES,SUBAWARD_VALUE_ROWS,SUBAWARD_DISTINCT_VALUES,NEGOTIATION_VALUE_ROWS,NEGOTIATION_DISTINCT_VALUES,DOC_VALUE_ROWS,DOC_DISTINCT_VALUES
1290,irb_req_mod_date1,Req Mod Date 1,Modification Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,2902
1310,irb_req_mod_date2,Req Mod Date 2,Modification Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,1721
1330,irb_req_mod_date3,Req Mod Date 3,Modification Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,734
1350,irb_req_mod_date4,Req Mod Date 4,Modification Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,209
1370,irb_req_mod_date5,Req Mod Date 5,Modification Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,40
1390,irb_req_mod_date6,Req Mod Date 6,Modification Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,17
1300,irb_response_date1,Response Date 1,Modification Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,3124
1320,irb_response_date2,Response Date 2,Modification Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,1777
1340,irb_response_date3,Response Date 3,Modification Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,737
1360,irb_response_date4,Response Date 4,Modification Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,210
1380,irb_response_date5,Response Date 5,Modification Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,39
1400,irb_response_date6,Response Date 6,Modification Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,16
220,country,"If Y, Country",International Activity,1,String,30,,,,SAWD,,N,N,0,0,0,0,52808,8,0,0,0,0
210,international,International? (Y/N),International Activity,1,String,1,,,,SAWD,,Y,N,0,0,0,0,52808,3,0,0,0,0
350,iacuc_app_date,IACUC Approval Date,Special Review,3,Date,,,,,SAWD,,N,N,0,0,0,0,52808,2,0,0,0,0
360,iacuc_exp_date,IACUC Expiration Date,Special Review,3,Date,,,,,SAWD,,N,N,0,0,0,0,51889,0,0,0,0,0
340,iacuc_req,IACUC Required? (Y/N),Special Review,1,String,1,,,,SAWD,,Y,N,0,0,0,0,52808,3,0,0,0,0
320,irb_app_date,IRB Approval Date,Special Review,3,Date,,,,,SAWD,,N,N,0,0,0,0,52808,11,0,0,0,0
330,irb_exp_date,IRB Expiration Date,Special Review,3,Date,,,,,SAWD,,N,N,0,0,0,0,52808,3,0,0,0,0
310,irb_req,IRB Required? (Y/N),Special Review,1,String,1,,,,SAWD,,Y,N,0,0,0,0,52808,3,0,0,0,0
420,pafo_check,Risk Analysis List Checked,Subrecipient Review,4,Boolean,,,,,SAWD,,N,Y,0,0,0,0,93061,2,0,0,0,0
430,pafo_date,Risk Analysis List Check Completion Date,Subrecipient Review,3,Date,,,,,SAWD,,N,Y,0,0,0,0,93061,2652,0,0,0,0
440,risk_check,Risk Analysis Required,Subrecipient Review,4,Boolean,,,,,SAWD,,N,Y,0,0,0,0,93061,2,0,0,0,0
450,risk_date,Risk Analysis Completion Date,Subrecipient Review,3,Date,,,,,SAWD,,N,Y,0,0,0,0,93061,856,0,0,0,0
410,sam_date,SAM Check Completion Date,Subrecipient Review,3,Date,,,,,SAWD,,N,Y,0,0,0,0,93061,2841,0,0,0,0
460,spq_check,SPQ Required,Subrecipient Review,4,Boolean,,,,,SAWD,,N,Y,0,0,0,0,93061,2,0,0,0,0
470,spq_date,SPQ Completion Date,Subrecipient Review,3,Date,,,,,SAWD,,N,N,0,0,0,0,57344,359,0,0,0,0
1212,Contract,Contract,General,4,Boolean,,,,,,,,,6892,1,2761,2,0,0,0,0,0,0
12,NSF_Award_Type,NSF Award Type,General,1,String,,,,,,,,,0,0,0,0,0,0,0,0,0,0
810,street_add,Street Address,Location of Research,1,String,,,,,,,,,0,0,0,0,0,0,0,0,0,0
