DOMAIN,TABLE_NAME,EXTRACT_TYPE,ROW_COUNT,COLUMN_COUNT,PRIMARY_KEY,LINEAGE_KEYS,CONTAINS_PII,NOTES
Proposal / pre-award,EPS_PROP_COLUMNS_TO_ALTER,FULL,9,11,COLUMN_NAME,,N,
Proposal / pre-award,EPS_PROP_CONG_DISTRICT,EMPTY,0,8,CONG_DISTRICT_ID,PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_COST_SHARING,EMPTY,0,16,"BUDGET_ID,COST_SHARE_ID","PROPOSAL_NUMBER,UNIT_NUMBER,BUDGET_ID",N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_EXEMPT_NUMBER,EMPTY,0,7,PROPOSAL_EXEMPT_NUMBER_ID,,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_IDC_RATE,FULL,56,15,"BUDGET_ID,UNRECOVERED_FNA_ID","PROPOSAL_NUMBER,BUDGET_ID",N,
Proposal / pre-award,EPS_PROP_LA_RATES,EMPTY,0,12,"BUDGET_ID,RATE_TYPE_CODE,FISCAL_YEAR,ON_OFF_CAMPUS_FLAG,START_DATE,RATE_CLASS_CODE",BUDGET_ID,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_LOCATION,EMPTY,0,8,"PROPOSAL_NUMBER,LOCATION_SEQUENCE_NUMBER","PROPOSAL_NUMBER,ROLODEX_ID",N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_PERSON,EMPTY,0,89,"PROPOSAL_NUMBER,PROP_PERSON_NUMBER","PROPOSAL_NUMBER,PERSON_ID,ROLODEX_ID",N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_PERSON_BIO,EMPTY,0,13,"PROPOSAL_NUMBER,PROP_PERSON_NUMBER,BIO_NUMBER","PROPOSAL_NUMBER,PERSON_ID,ROLODEX_ID",N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_PERSON_BIO_ATTACHMENT,EMPTY,0,12,"PROPOSAL_NUMBER,PROP_PERSON_NUMBER,BIO_NUMBER",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_PERSON_CERT_DETAILS,EMPTY,0,8,"PROPOSAL_NUMBER,PROP_PERSON_NUMBER",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_PERSON_DEGREE,EMPTY,0,15,"PROPOSAL_NUMBER,PROP_PERSON_NUMBER,DEGREE_SEQUENCE_NUMBER",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_PERSON_ROLE,FULL,8,13,PROP_PERSON_ROLE_ID,,N,
Proposal / pre-award,EPS_PROP_PERSON_UNITS,EMPTY,0,8,"PROPOSAL_NUMBER,PROP_PERSON_NUMBER,UNIT_NUMBER","PROPOSAL_NUMBER,UNIT_NUMBER",N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_PERS_YNQ,EMPTY,0,8,"PROPOSAL_NUMBER,PROP_PERSON_NUMBER,QUESTION_ID",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_PER_CREDIT_SPLIT,EMPTY,0,8,"PROPOSAL_NUMBER,INV_CREDIT_TYPE_CODE,PROP_PERSON_NUMBER",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_PER_DOC_TYPE,FULL,6,6,DOCUMENT_TYPE_CODE,,N,
Proposal / pre-award,EPS_PROP_RATES,SAMPLE,1895754,13,"BUDGET_ID,RATE_CLASS_CODE,RATE_TYPE_CODE,FISCAL_YEAR,ON_OFF_CAMPUS_FLAG,START_DATE",BUDGET_ID,N,
Proposal / pre-award,EPS_PROP_SCIENCE_KEYWORD,EMPTY,0,8,"PROPOSAL_NUMBER,SCIENCE_KEYWORD_CODE",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_SITES,FULL,2,18,"PROPOSAL_NUMBER,SITE_NUMBER","PROPOSAL_NUMBER,ORGANIZATION_ID,ROLODEX_ID",N,
Proposal / pre-award,EPS_PROP_SPECIAL_REVIEW,EMPTY,0,18,PROPOSAL_SPECIAL_REVIEW_ID,PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_SPL_REVIEW_ATTACHMENT,EMPTY,0,13,PROPOSAL_SPECIAL_REVIEW_ATT_ID,,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_UNIT_CREDIT_SPLIT,EMPTY,0,9,"PROPOSAL_NUMBER,INV_CREDIT_TYPE_CODE,PROP_PERSON_NUMBER,UNIT_NUMBER","PROPOSAL_NUMBER,UNIT_NUMBER",N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_USER_ROLES,EMPTY,0,7,"PROPOSAL_NUMBER,USER_ID,ROLE_ID",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_YNQ,EMPTY,0,10,"PROPOSAL_NUMBER,QUESTION_ID",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,NARRATIVE,EMPTY,0,18,"PROPOSAL_NUMBER,MODULE_NUMBER",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,NARRATIVE_ATTACHMENT,EMPTY,0,11,"PROPOSAL_NUMBER,MODULE_NUMBER",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,NARRATIVE_STATUS,FULL,2,6,NARRATIVE_STATUS_CODE,,N,
Proposal / pre-award,NARRATIVE_TYPE,FULL,162,9,NARRATIVE_TYPE_CODE,,N,
Proposal / pre-award,NARRATIVE_USER_RIGHTS,EMPTY,0,8,"PROPOSAL_NUMBER,MODULE_NUMBER,USER_ID",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_APPLICATION,EMPTY,0,6,PROPOSAL_NUMBER,PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_APP_ATTACHMENTS,EMPTY,0,11,S2S_APP_ATTACHMENT_ID,PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_APP_SUBMISSION,EMPTY,0,15,"SUBMISSION_NUMBER,PROPOSAL_NUMBER",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_APP_SUBMISSION_01152019,EMPTY,0,13,,PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_ERROR,FULL,457,8,S2S_ERROR_ID,,N,
Proposal / pre-award,S2S_FORM_CONFIG,FULL,3,8,S2S_FORM_CONFIG_ID,,N,
Proposal / pre-award,S2S_FORM_TO_QUESTIONNAIRE,FULL,16,8,S2S_FORM_TO_QUESTIONNAIRE_ID,,N,
Proposal / pre-award,S2S_OPPORTUNITY,EMPTY,0,25,PROPOSAL_NUMBER,PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_OPPORTUNITY_CFDA,EMPTY,0,8,S2S_OPPORTUNITY_CFDA_ID,PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_OPP_FORMS,EMPTY,0,11,"PROPOSAL_NUMBER,OPP_NAME_SPACE",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_OVERRIDE,EMPTY,0,12,ID,PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_OVERRIDE_APPL_DATA,EMPTY,0,7,ID,,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_OVERRIDE_ATT,EMPTY,0,12,ID,,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_PROVIDERS,FULL,1,8,CODE,,N,
Proposal / pre-award,S2S_REVISION_TYPE,FULL,9,6,S2S_REVISION_TYPE_CODE,,N,
Proposal / pre-award,S2S_SUBMISSION_TYPE,FULL,3,7,S2S_SUBMISSION_TYPE_CODE,,N,
Proposal / pre-award,S2S_USER_ATTACHED_FORM,EMPTY,0,10,S2S_USER_ATTACHED_FORM_ID,PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_USER_ATTACHED_FORM_ATT,EMPTY,0,10,S2S_USER_ATTACHED_FORM_ATT_ID,PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_USER_ATTACHED_FORM_FILE,EMPTY,0,8,S2S_USER_ATTACHED_FORM_FILE_ID,,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,S2S_USER_ATTD_FORM_ATT_FILE,EMPTY,0,7,S2S_USER_ATTD_FORM_ATT_FILE_ID,,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,SUBCONTRACTING_BUD,EMPTY,0,14,AWARD_NUMBER,AWARD_NUMBER,N,"no rows in production; columns documented, no data file"
Reference / lookup,ABSTRACT_TYPE,FULL,17,6,ABSTRACT_TYPE_CODE,,N,
Reference / lookup,ACCOUNT,EMPTY,0,8,CODE,,N,"no rows in production; columns documented, no data file"
Reference / lookup,ACCOUNT_TYPE,FULL,2,6,ACCOUNT_TYPE_CODE,,N,
