DOMAIN,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,NULLABLE,DATA_DEFAULT,ORACLE_COLUMN_COMMENT,UI_FIELD_NAME,FIELD_DESCRIPTION,JAVA_OBJECT,JAVA_PROPERTY,LOOKUP_TABLE,LOOKUP_COLUMN,FIELD_ORIGIN,MAPPING_PRIORITY,EXTRACT_TYPE,CONTAINS_PII
Award,AWARD_SUBCONTRACT_GOALS_EXP,15,VETERAN_OWNED_AMT,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,16,SVC_DISABLED_VET_OWNED_AMT,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,17,HISTORIC_BLACK_COLLEGE_AMT,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,18,COMMENTS,VARCHAR2(2000),Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,19,UPDATE_TIMESTAMP,DATE,N,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,20,UPDATE_USER,VARCHAR2(60),N,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,21,VER_NBR,"NUMBER(8,0)",N,1,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,22,OBJ_ID,VARCHAR2(36),N,,,,,,,,,,,EMPTY,N
Award,AWARD_SYNC_CHANGE,1,AWARD_SYNC_CHANGE_ID,"NUMBER(22,0)",N,,,Award Sync Change Id,Award Sync Change Id,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,awardSyncChangeId,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_CHANGE,2,AWARD_ID,"NUMBER(22,0)",N,,,Award Id,Award Id,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,awardId,AWARD,AWARD_ID,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_CHANGE,3,XML_CHANGES,CLOB,Y,,,Change XML,XML describing the change for persistence,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,xml,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_CHANGE,4,CLASS_NAME,VARCHAR2(100),N,,,Class Name,Class Name,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,className,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_CHANGE,5,ATTRIBUTE_NAME,VARCHAR2(50),Y,,,Attribute Name,Attribute Name,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,attrName,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_CHANGE,6,OBJECT_DESC,VARCHAR2(500),Y,,,Object,Text description of the object changed,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,objectDesc,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_CHANGE,7,DATA_DESC,VARCHAR2(500),Y,,,Data,Text description of the data changed,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,dataDesc,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_CHANGE,8,SYNC_TYPE,CHAR(1),N,,,Sync Action,Type of syncronization,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,syncType,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_CHANGE,9,SYNC_DESCEND,VARCHAR2(6),Y,,,Sync,Syncronize Descendents,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,syncDescendants,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_CHANGE,10,SYNC_FABRICATED_DESCEND,CHAR(1),N,,,Syncronize Fabricated Descendents,Syncronize Fabricated Descendents,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,syncFabricated,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_CHANGE,11,SYNC_COST_SHARE_DESCEND,CHAR(1),N,,,Syncronize Cost Sharing Accounts,Syncronize Cost Sharing Accounts,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,syncCostSharing,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_CHANGE,12,UPDATE_TIMESTAMP,DATE,N,,,,,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,updateTimestamp,,,LOOKUP_REFERENCE,NOT_FOR_HURON,EMPTY,N
Award,AWARD_SYNC_CHANGE,13,UPDATE_USER,VARCHAR2(60),N,,,,,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,updateUser,,,LOOKUP_REFERENCE,NOT_FOR_HURON,EMPTY,N
Award,AWARD_SYNC_CHANGE,14,VER_NBR,"NUMBER(8,0)",N,,,,,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,versionNumber,,,LOOKUP_REFERENCE,NOT_FOR_HURON,EMPTY,N
Award,AWARD_SYNC_CHANGE,15,OBJ_ID,VARCHAR2(36),N,,,,,org.kuali.kra.award.awardhierarchy.sync.AwardSyncChange,objectId,,,LOOKUP_REFERENCE,NOT_FOR_HURON,EMPTY,N
Award,AWARD_SYNC_LOG,1,AWARD_SYNC_LOG_ID,"NUMBER(22,0)",N,,,Award Sync Log Id,Award Sync Log Id,org.kuali.kra.award.awardhierarchy.sync.AwardSyncLog,awardSyncLogId,,,CORE_KUALI,HIGH,EMPTY,N
Award,AWARD_SYNC_LOG,2,AWARD_SYNC_STATUS_ID,"NUMBER(22,0)",Y,,,Award Sync Status Id,Award Sync Status Id,org.kuali.kra.award.awardhierarchy.sync.AwardSyncLog,awardSyncStatusId,AWARD_SYNC_STATUS,AWARD_SYNC_STATUS_ID,CORE_KUALI,HIGH,EMPTY,N
Award,AWARD_SYNC_LOG,3,AWARD_SYNC_CHANGE_ID,"NUMBER(22,0)",Y,,,Award Sync Change Id,Award Sync Change Id,org.kuali.kra.award.awardhierarchy.sync.AwardSyncLog,awardSyncChangeId,AWARD_SYNC_CHANGE,AWARD_SYNC_CHANGE_ID,CORE_KUALI,HIGH,EMPTY,N
Award,AWARD_SYNC_LOG,4,SUCCESS,CHAR(1),N,,,Success,Success,org.kuali.kra.award.awardhierarchy.sync.AwardSyncLog,success,,,CORE_KUALI,HIGH,EMPTY,N
Award,AWARD_SYNC_LOG,5,LOG_TYPE_CODE,CHAR(2),N,,,Log Type,Log Type,org.kuali.kra.award.awardhierarchy.sync.AwardSyncLog,logTypeCode,,,CORE_KUALI,HIGH,EMPTY,N
Award,AWARD_SYNC_LOG,6,STATUS,VARCHAR2(4000),Y,,,Result,Result Message,org.kuali.kra.award.awardhierarchy.sync.AwardSyncLog,status,,,CORE_KUALI,HIGH,EMPTY,N
Award,AWARD_SYNC_LOG,7,UPDATE_TIMESTAMP,DATE,N,,,,,org.kuali.kra.award.awardhierarchy.sync.AwardSyncLog,updateTimestamp,,,CORE_KUALI,NOT_FOR_HURON,EMPTY,N
Award,AWARD_SYNC_LOG,8,UPDATE_USER,VARCHAR2(60),N,,,,,org.kuali.kra.award.awardhierarchy.sync.AwardSyncLog,updateUser,,,CORE_KUALI,NOT_FOR_HURON,EMPTY,N
Award,AWARD_SYNC_LOG,9,VER_NBR,"NUMBER(8,0)",N,,,,,org.kuali.kra.award.awardhierarchy.sync.AwardSyncLog,versionNumber,,,CORE_KUALI,NOT_FOR_HURON,EMPTY,N
Award,AWARD_SYNC_LOG,10,OBJ_ID,VARCHAR2(36),N,,,,,org.kuali.kra.award.awardhierarchy.sync.AwardSyncLog,objectId,,,CORE_KUALI,NOT_FOR_HURON,EMPTY,N
Award,AWARD_SYNC_STATUS,1,AWARD_SYNC_STATUS_ID,"NUMBER(22,0)",N,,,Award Sync Status Id,Award Sync Status Id,org.kuali.kra.award.awardhierarchy.sync.AwardSyncStatus,awardSyncStatusId,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_STATUS,2,AWARD_ID,"NUMBER(22,0)",Y,,,Award Id,Award Id,org.kuali.kra.award.awardhierarchy.sync.AwardSyncStatus,awardId,AWARD,AWARD_ID,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_STATUS,3,AWARD_NUMBER,VARCHAR2(12),Y,,,Award ID,Award ID,org.kuali.kra.award.awardhierarchy.sync.AwardSyncStatus,awardNumber,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_STATUS,4,PARENT_AWARD_ID,"NUMBER(22,0)",N,,,Award Id,Award Id,org.kuali.kra.award.awardhierarchy.sync.AwardSyncStatus,parentAwardId,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_STATUS,5,STEP_SUCCESS,CHAR(1),N,,,Success,Success,org.kuali.kra.award.awardhierarchy.sync.AwardSyncStatus,success,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_STATUS,6,STATUS,VARCHAR2(4000),Y,,,Result,Result Message,org.kuali.kra.award.awardhierarchy.sync.AwardSyncStatus,status,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_STATUS,7,SYNC_COMPLETE,CHAR(1),N,,,Complete,Sync Complete,org.kuali.kra.award.awardhierarchy.sync.AwardSyncStatus,syncComplete,,,LOOKUP_REFERENCE,HIGH,EMPTY,N
Award,AWARD_SYNC_STATUS,8,UPDATE_TIMESTAMP,DATE,N,,,,,org.kuali.kra.award.awardhierarchy.sync.AwardSyncStatus,updateTimestamp,,,LOOKUP_REFERENCE,NOT_FOR_HURON,EMPTY,N
Award,AWARD_SYNC_STATUS,9,UPDATE_USER,VARCHAR2(60),N,,,,,org.kuali.kra.award.awardhierarchy.sync.AwardSyncStatus,updateUser,,,LOOKUP_REFERENCE,NOT_FOR_HURON,EMPTY,N
Award,AWARD_SYNC_STATUS,10,VER_NBR,"NUMBER(8,0)",N,,,,,org.kuali.kra.award.awardhierarchy.sync.AwardSyncStatus,versionNumber,,,LOOKUP_REFERENCE,NOT_FOR_HURON,EMPTY,N
Award,AWARD_SYNC_STATUS,11,OBJ_ID,VARCHAR2(36),N,,,,,org.kuali.kra.award.awardhierarchy.sync.AwardSyncStatus,objectId,,,LOOKUP_REFERENCE,NOT_FOR_HURON,EMPTY,N
